"","Year","State","avg_AQI"
"430",1988,"Kentucky",46.1578947368421
"431",1988,"Louisiana",39.5
"432",1988,"Maine",41.5
"433",1988,"Maryland",46.1111111111111
"434",1988,"Massachusetts",57.2
"435",1988,"Michigan",34.4
"436",1988,"Minnesota",40
"437",1988,"Mississippi",36
"438",1988,"Missouri",44
"439",1988,"Montana",40.5384615384615
"440",1988,"Nebraska",36.75
"441",1988,"Nevada",42.2
"442",1988,"New Hampshire",51.75
"443",1988,"New Jersey",44.2666666666667
"444",1988,"New Mexico",38.5555555555556
"445",1988,"New York",49.05
"446",1988,"North Carolina",45.1333333333333
"447",1988,"North Dakota",24.4444444444444
"448",1988,"Ohio",51.448275862069
"449",1988,"Oklahoma",47.5
"450",1988,"Oregon",37.1666666666667
"451",1988,"Pennsylvania",54.7727272727273
"452",1988,"Puerto Rico",29.6
"453",1988,"Rhode Island",48.5
"454",1988,"South Carolina",41.875
"455",1988,"South Dakota",26.6666666666667
"456",1988,"Tennessee",48.7647058823529
"457",1988,"Texas",45.8095238095238
"458",1988,"Utah",42.375
"459",1988,"Vermont",32.5
"460",1988,"Virgin Islands",36
"461",1988,"Virginia",40.8823529411765
"462",1988,"Washington",39
"463",1988,"West Virginia",74
"464",1988,"Wisconsin",43.4736842105263
"465",1988,"Wyoming",27.3333333333333
"466",1989,"Alabama",33.3333333333333
"467",1989,"Alaska",26.4
"468",1989,"Arizona",48.6
"469",1989,"Arkansas",25.5
"470",1989,"California",53.3265306122449
"471",1989,"Colorado",34.2173913043478
"472",1989,"Connecticut",42.375
"473",1989,"Delaware",57.6666666666667
"474",1989,"District Of Columbia",52
"475",1989,"Florida",35.6842105263158
"476",1989,"Georgia",35.2
"477",1989,"Hawaii",21
"478",1989,"Idaho",32.2222222222222
"479",1989,"Illinois",44.3913043478261
"480",1989,"Indiana",52.125
"481",1989,"Iowa",38.2222222222222
"482",1989,"Kansas",33
"483",1989,"Kentucky",44.1111111111111
"484",1989,"Louisiana",34.25
"485",1989,"Maine",39.7
"486",1989,"Maryland",41.1818181818182
"487",1989,"Massachusetts",51.4545454545455
"488",1989,"Michigan",36.375
"489",1989,"Minnesota",36.6666666666667
"490",1989,"Mississippi",33.5714285714286
"491",1989,"Missouri",43.1818181818182
"492",1989,"Montana",35.5384615384615
"493",1989,"Nebraska",35.75
"494",1989,"Nevada",40.2
"495",1989,"New Hampshire",49
"496",1989,"New Jersey",43.2666666666667
"497",1989,"New Mexico",41.5833333333333
"498",1989,"New York",46.7619047619048
"499",1989,"North Carolina",36.9333333333333
"500",1989,"North Dakota",20.3333333333333
"501",1989,"Ohio",50.1290322580645
"502",1989,"Oklahoma",39.625
"503",1989,"Oregon",38
"504",1989,"Pennsylvania",51.1739130434783
"505",1989,"Puerto Rico",26.8333333333333
"506",1989,"Rhode Island",48
"507",1989,"South Carolina",33.4444444444444
"508",1989,"South Dakota",23.25
"509",1989,"Tennessee",42.4375
"510",1989,"Texas",43
"511",1989,"Utah",44.4285714285714
"512",1989,"Vermont",32.5
"513",1989,"Virgin Islands",44
"514",1989,"Virginia",39
"515",1989,"Washington",37.8823529411765
"516",1989,"West Virginia",67.5555555555556
"517",1989,"Wisconsin",42.7
"518",1989,"Wyoming",24.4285714285714
"519",1990,"Alabama",35.4615384615385
"520",1990,"Alaska",28.2
"521",1990,"Arizona",40.6363636363636
"522",1990,"Arkansas",26.3333333333333
"523",1990,"California",49.82
"524",1990,"Colorado",31.1666666666667
"525",1990,"Connecticut",38.625
"526",1990,"Delaware",54.6666666666667
"527",1990,"District Of Columbia",59
"528",1990,"Florida",40.1764705882353
"529",1990,"Georgia",36.75
"530",1990,"Hawaii",18.5
"531",1990,"Idaho",31.2727272727273
"532",1990,"Illinois",40.5652173913044
"533",1990,"Indiana",50.8
"534",1990,"Iowa",36.5555555555556
"535",1990,"Kansas",28.5714285714286
"536",1990,"Kentucky",41.8947368421053
"537",1990,"Louisiana",36.75
"538",1990,"Maine",36.7
"539",1990,"Maryland",39.0833333333333
"540",1990,"Massachusetts",46.6363636363636
"541",1990,"Michigan",35.6842105263158
"542",1990,"Minnesota",30.5454545454545
"543",1990,"Mississippi",39
"544",1990,"Missouri",40.5454545454545
"545",1990,"Montana",39.1538461538462
"546",1990,"Nebraska",31.5
"547",1990,"Nevada",44.25
"548",1990,"New Hampshire",48.1666666666667
"549",1990,"New Jersey",41.4666666666667
"550",1990,"New Mexico",36.25
"551",1990,"New York",42.0869565217391
"552",1990,"North Carolina",38.1111111111111
"553",1990,"North Dakota",17.3333333333333
"554",1990,"Ohio",46.7352941176471
"555",1990,"Oklahoma",38
"556",1990,"Oregon",39.0769230769231
"557",1990,"Pennsylvania",47.5357142857143
"558",1990,"Puerto Rico",30.6666666666667
"559",1990,"Rhode Island",43.5
"560",1990,"South Carolina",40.0909090909091
"561",1990,"South Dakota",25.5
"562",1990,"Tennessee",44.4210526315789
"563",1990,"Texas",37.6666666666667
"564",1990,"Utah",42.5714285714286
"565",1990,"Vermont",31.25
"566",1990,"Virgin Islands",25.5
"567",1990,"Virginia",38.28
"568",1990,"Washington",37.3125
"569",1990,"West Virginia",62.2727272727273
"570",1990,"Wisconsin",38.0476190476191
"571",1990,"Wyoming",31.2857142857143
"572",1991,"Alabama",32.4
"573",1991,"Alaska",27
"574",1991,"Arizona",36.25
"575",1991,"Arkansas",25.9
"576",1991,"California",49.9
"577",1991,"Colorado",33
"578",1991,"Connecticut",41
"579",1991,"Delaware",50
"580",1991,"District Of Columbia",60
"581",1991,"Florida",36.1111111111111
"582",1991,"Georgia",32.7333333333333
"583",1991,"Hawaii",18.75
"584",1991,"Idaho",29.6363636363636
"585",1991,"Illinois",42.3181818181818
"586",1991,"Indiana",49.1666666666667
